contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate,ticker
AAPL241025C00100000,2024-10-04 19:53:51+00:00,100.0,126.51,134.25,135.85,0.0,0.0,5.0,6.0,2.46094134765625,True,REGULAR,USD,2024-10-25,AAPL
AAPL241025C00105000,2024-10-16 19:28:18+00:00,105.0,126.68,129.85,130.35,0.0,0.0,1.0,2.0,2.5117224707031247,True,REGULAR,USD,2024-10-25,AAPL
AAPL241025C00130000,2024-10-16 19:16:04+00:00,130.0,101.74,104.85,105.85,0.0,0.0,2.0,4.0,2.232426293945312,True,REGULAR,USD,2024-10-25,AAPL
AAPL241025C00140000,2024-10-18 14:08:51+00:00,140.0,95.79,94.3,96.0,3.540001,3.8373992,1.0,3.0,1.7578137109375,True,REGULAR,USD,2024-10-25,AAPL
AAPL241025C00145000,2024-10-18 19:23:20+00:00,145.0,90.47,89.2,90.95,9.970001,12.385095,8.0,79.0,1.5156274218749999,True,REGULAR,USD,2024-10-25,AAPL
AAPL241025C00150000,2024-10-18 19:23:51+00:00,150.0,85.51,84.9,85.4,1.5600052,1.8582553,4.0,394.0,1.5449241503906248,True,REGULAR,USD,2024-10-25,AAPL
AAPL241025C00155000,2024-10-15 13:30:04+00:00,155.0,78.85,79.9,80.4,0.0,0.0,56.0,57.0,1.443362158203125,True,REGULAR,USD,2024-10-25,AAPL
AAPL241025C00160000,2024-10-17 16:42:07+00:00,160.0,72.44,74.9,75.4,0.0,0.0,2.0,32.0,1.3437532812499997,True,REGULAR,USD,2024-10-25,AAPL
AAPL241025C00165000,2024-10-18 16:31:42+00:00,165.0,70.2,69.9,70.4,3.409996,5.105549,5.0,35.0,1.2480506347656248,True,REGULAR,USD,2024-10-25,AAPL
AAPL241025C00170000,2024-10-18 19:53:51+00:00,170.0,65.04,64.9,65.4,2.5900002,4.147318,123.0,57.0,1.154301103515625,True,REGULAR,USD,2024-10-25,AAPL
AAPL241025C00175000,2024-10-18 19:53:51+00:00,175.0,60.04,59.9,60.4,2.9500008,5.1672807,26.0,35.0,1.0625046875000002,True,REGULAR,USD,2024-10-25,AAPL
AAPL241025C00180000,2024-10-18 19:58:51+00:00,180.0,55.2,54.95,55.4,2.9400024,5.6257224,80.0,58.0,0.9960937890625,True,REGULAR,USD,2024-10-25,AAPL
AAPL241025C00185000,2024-10-18 19:52:54+00:00,185.0,50.1,49.95,51.0,2.8999977,6.144063,46.0,278.0,1.0722702636718753,True,REGULAR,USD,2024-10-25,AAPL
AAPL241025C00190000,2024-10-18 18:54:40+00:00,190.0,45.65,44.95,45.45,3.3900032,8.021778,17.0,481.0,0.8349625878906248,True,REGULAR,USD,2024-10-25,AAPL
AAPL241025C00195000,2024-10-18 19:40:39+00:00,195.0,40.27,39.95,40.4,3.1899986,8.603016,42.0,202.0,0.7314479980468749,True,REGULAR,USD,2024-10-25,AAPL
